ID,Engagement Tactic,Resident,Rent/Own,Children,Lived in Silverton,Age,Community,Race or Ethnicity,Household Income,Filled out before,notes
82,,Fulltime,Own,,,40 to 59 years,Silverton Proper,White,"$75,000 +",,
83,,Fulltime,Own,,,20 to 39 years,Silverton Proper,White,"$75,000 +",,
84,,Fulltime,Own,,,20 to 39 years,Silverton Proper,White,"$75,000 +",,
85,,Fulltime,Own,,,20 to 39 years,San Juan County,White,"$75,000 +",,
86,,Fulltime,Own,,,40 to 59 years,Silverton Proper,White,"$50,000 to $74,999",,
87,,Summer,Own,,,,Silverton Proper,White,"Less than $34,999",,
88,,Fulltime,,,,Under 19 years,Silverton Proper,White,,,
89,,Fulltime,Rent,,,40 to 59 years,Silverton Proper,White,"Less than $34,999",,
90,,Fulltime,Own,,,60 years or greater,Silverton Proper,White,"$75,000 +",,
91,,Fulltime,Own,,,,Silverton Proper,,,,
92,,Winter,Rent,,,20 to 39 years,Silverton Proper,White,"$35,000 to $49,999",,
93,,Winter,Rent,,,20 to 39 years,San Juan County,White,"$35,000 to $49,999",,
94,,Fulltime,Own,,,60 years or greater,Silverton Proper,,"$50,000 to $74,999",,
95,,Fulltime,Own,,,60 years or greater,Silverton Proper,White/Black or African American,"$50,000 to $74,999",,
96,,Fulltime,Own,,,60 years or greater,Silverton Proper,White,,,
97,,,,,,,,,,,
98,,Fulltime,,,,60 years or greater,Silverton Proper,White,"$50,000 to $74,999",,
99,,Fulltime,Own,,,40 to 59 years,Silverton Proper,Other,"$35,000 to $49,999",,
100,,Fulltime,Own,,,40 to 59 years,Silverton Proper,Other,,,
101,,Fulltime,Own,,,60 years or greater,Silverton Proper,White,"$50,000 to $74,999",,
102,,Fulltime,Own,,,,Silverton Proper,White/Hispanic or Latino origin,,,
103,,Fulltime,Rent,,,60 years or greater,Silverton Proper,White,"Less than $34,999",,
104,,Fulltime,Own,,,20 to 39 years,Silverton Proper,White,"$75,000 +",,
105,,Fulltime,Own,,,20 to 39 years,Silverton Proper,White,"$75,000 +",,
106,,Fulltime,Own,,,40 to 59 years,Silverton Proper,White,"$75,000 +",,
107,,Fulltime,Own,,,40 to 59 years,Silverton Proper,White,"$50,000 to $74,999",,
108,,Fulltime,Own,,,60 years or greater,Silverton Proper,White,"$75,000 +",,
